,symbol,net_profit_cagr,north_net_inflow,ps,type,percent,has_follow,tick_size,pb_ttm,float_shares,current,amplitude,pcf,current_year_percent,float_market_capital,north_net_inflow_time,market_capital,dividend_yield,lot_size,roe_ttm,total_percent,percent5m,income_cagr,amount,chg,issue_date_ts,eps,main_net_inflows,volume,volume_ratio,pb,followers,turnover_rate,first_percent,name,pe_ttm,total_shares,limitup_days,codename
0,SH600000,-4.300667063401109,32579503.353572607,1.1162,11,0.28,False,0.01,0.3683,29352174759,7.27,0.83,,-0.14,213390310498.0,1681315200000.0,213390310498.0,5.64,100,7.667371700460301,266.36,-0.14,0.0969026547090301,182629852.0,0.02,942163200000,1.77,-2409305.0,25074604.0,1.25,0.367,624299.0,0.09,177.5,浦发银行,4.109,29352174759,0,SH600000 浦发银行
1,SH600004,,-4575044.181080005,7.6769,11,-1.75,False,0.01,2.1109,2366718283,15.76,2.43,39.7661,5.0,37299480140.0,1681315200000.0,37299480140.0,0.0,100,-3.0235611595480445,434.8,0.0,-15.66113115101847,222459931.0,-0.28,1051459200000,-0.23,-11844757.0,14064823.0,0.82,2.11,106454.0,0.59,48.81,白云机场,,2366718283,0,SH600004 白云机场
2,SH600006,-13.62579888224895,2246173.164602699,0.9565,11,1.75,False,0.01,1.4226,2000000000,5.83,2.27,,4.48,11660000000.0,1681315200000.0,11660000000.0,0.738,100,3.515771053204549,199.76,0.17,-3.393264358196169,189737092.0,0.1,933004800000,0.14,16147588.0,32611100.0,2.0,1.422,86674.0,1.63,31.37,东风汽车,40.9,2000000000,0,SH600006 东风汽车
3,SH600007,4.693316663975944,-5132428.415329853,5.2174,11,1.48,False,0.01,1.9638,1007282534,17.83,2.11,9.8446,12.63,17959847581.0,1681315200000.0,17959847581.0,3.926,100,12.552398502538203,469.65,-0.06,-0.8367117905618948,34318228.0,0.26,921168000000,1.11,2484115.0,1935620.0,1.1,1.964,25938.0,0.19,0.0,中国国贸,16.095,1007282534,0,SH600007 中国国贸
4,SH600008,48.74061861060854,-43888666.41460698,0.9939,11,-0.99,False,0.01,1.1762,7340590677,3.0,1.98,7.2819,6.01,22021772031.0,1681315200000.0,22021772031.0,4.333,100,11.629224889595909,46.97,0.0,14.122962718456725,297567151.0,-0.03,956764800000,0.43,-48069554.0,99054652.0,1.17,0.806,86145.0,1.35,93.99,首创环保,6.983,7340590677,0,SH600008 首创环保
5,SH600009,,-10640973.79317845,76.8193,11,-1.56,False,0.01,3.3658,1926958448,54.91,2.33,,-4.85,105809288380.0,1681315200000.0,136642510379.0,0.0,100,-8.002325353609068,1585.34,-0.02,-38.607557310383655,644408712.0,-0.87,887731200000,-1.1,-74780510.0,11720995.0,1.55,3.367,569788.0,0.61,0.0,上海机场,,2488481340,0,SH600009 上海机场
6,SH600010,,-2560015.982915281,1.0774,11,0.53,False,0.01,1.6118,31677211587,1.9,1.06,22.4334,-1.04,60186702015.0,1681315200000.0,86611562031.0,1.0,100,-3.00111722591231,135.5,-0.52,7.3296057315615615,307874028.0,0.01,984067200000,-0.04,47120186.0,162179748.0,1.03,1.61,303875.0,0.51,23.55,包钢股份,,45585032648,0,SH600010 包钢股份
7,SH600011,,22246087.839861304,0.5777,11,3.65,False,0.01,3.0685,10997709919,9.08,6.16,4.3832,19.32,99859206065.0,1681315200000.0,142538687700.0,0.0,100,-6.901579062097464,240.78,-0.22,12.456298630437711,717547778.0,0.32,1007568000000,-0.47,65619939.0,79051433.0,1.87,3.068,124978.0,0.72,71.57,华能国际,,15698093359,0,SH600011 华能国际
8,SH600012,9.601556998986284,,2.844860711422152,11,0.0,False,0.01,1.242,1165600000,8.93,,7.643798045255306,22.16,10408808000.0,,14811387300.0,6.159,100,12.396173256274023,457.22,0.11,20.896386047320625,,0.0,1041868800000,0.87,,,,1.242,28399.0,,96.82,皖通高速,10.25,1658610000,0,SH600012 皖通高速
9,SH600015,4.245835149301858,2882512.3920874265,0.9003,11,0.18,False,0.01,0.3406,12822686653,5.45,0.92,7.9103,5.01,69883642259.0,1681315200000.0,86736360151.0,6.0,100,8.172651274884728,272.42,0.18,4.4264568744309285,112947691.0,0.01,1063296000000,1.53,-9730999.0,20723777.0,0.89,0.341,170935.0,0.16,27.68,华夏银行,3.552,15914928468,0,SH600015 华夏银行
10,SH600016,-13.140130199863345,29612965.51248725,1.0694,11,0.0,False,0.01,0.3017,35462123213,3.48,0.57,0.9163,0.87,123408188781.0,1681315200000.0,152362816387.0,6.149,100,6.007283207063825,428.63,0.29,-7.572296423395142,178219335.0,0.0,977155200000,0.81,-34309603.0,51218620.0,1.24,0.302,716168.0,0.14,57.29,民生银行,4.32,43782418502,0,SH600016 民生银行
