,symbol,name,codename
0,SH600000,浦发银行,SH600000 浦发银行
1,SH600004,白云机场,SH600004 白云机场
2,SH600006,东风汽车,SH600006 东风汽车
3,SH600007,中国国贸,SH600007 中国国贸
4,SH600008,首创环保,SH600008 首创环保
5,SH600009,上海机场,SH600009 上海机场
6,SH600010,包钢股份,SH600010 包钢股份
7,SH600011,华能国际,SH600011 华能国际
8,SH600012,皖通高速,SH600012 皖通高速
9,SH600015,华夏银行,SH600015 华夏银行
10,SH600016,民生银行,SH600016 民生银行
11,SH600017,日照港,SH600017 日照港
12,SH600018,上港集团,SH600018 上港集团
13,SH600019,宝钢股份,SH600019 宝钢股份
14,SH600020,中原高速,SH600020 中原高速
15,SH600021,上海电力,SH600021 上海电力
16,SH600022,山东钢铁,SH600022 山东钢铁
17,SH600023,浙能电力,SH600023 浙能电力
18,SH600025,华能水电,SH600025 华能水电
19,SH600026,中远海能,SH600026 中远海能
20,SH600027,华电国际,SH600027 华电国际
21,SH600028,中国石化,SH600028 中国石化
22,SH600029,南方航空,SH600029 南方航空
23,SH600030,中信证券,SH600030 中信证券
24,SH600031,三一重工,SH600031 三一重工
25,SH600032,浙江新能,SH600032 浙江新能
26,SH600033,福建高速,SH600033 福建高速
27,SH600035,楚天高速,SH600035 楚天高速
28,SH600036,招商银行,SH600036 招商银行
29,SH600037,歌华有线,SH600037 歌华有线
30,SH600038,中直股份,SH600038 中直股份
31,SH600039,四川路桥,SH600039 四川路桥
32,SH600048,保利发展,SH600048 保利发展
33,SH600050,中国联通,SH600050 中国联通
34,SH600051,宁波联合,SH600051 宁波联合
35,SH600052,东望时代,SH600052 东望时代
36,SH600053,九鼎投资,SH600053 九鼎投资
37,SH600054,黄山旅游,SH600054 黄山旅游
38,SH600055,万东医疗,SH600055 万东医疗
39,SH600056,中国医药,SH600056 中国医药
40,SH600057,厦门象屿,SH600057 厦门象屿
41,SH600058,五矿发展,SH600058 五矿发展
42,SH600059,古越龙山,SH600059 古越龙山
43,SH600060,海信视像,SH600060 海信视像
44,SH600061,国投资本,SH600061 国投资本
45,SH600062,华润双鹤,SH600062 华润双鹤
46,SH600063,皖维高新,SH600063 皖维高新
47,SH600064,南京高科,SH600064 南京高科
48,SH600066,宇通客车,SH600066 宇通客车
49,SH600067,冠城大通,SH600067 冠城大通
50,SH600070,浙江富润,SH600070 浙江富润
51,SH600071,凤凰光学,SH600071 凤凰光学
52,SH600072,中船科技,SH600072 中船科技
53,SH600073,上海梅林,SH600073 上海梅林
54,SH600075,新疆天业,SH600075 新疆天业
55,SH600076,康欣新材,SH600076 康欣新材
56,SH600077,宋都股份,SH600077 宋都股份
57,SH600078,ST澄星,SH600078 ST澄星
58,SH600079,人福医药,SH600079 人福医药
59,SH600080,金花股份,SH600080 金花股份
60,SH600081,东风科技,SH600081 东风科技
61,SH600082,海泰发展,SH600082 海泰发展
62,SH600083,博信股份,SH600083 博信股份
63,SH600084,中葡股份,SH600084 中葡股份
64,SH600085,同仁堂,SH600085 同仁堂
65,SH600088,中视传媒,SH600088 中视传媒
