,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
2012-4,22.04,2.4029,0.9,0.51,0.2445,0.9659,6.7371,7.4483,30.3147,156838613.35,,11681790.1,,10858500.0,,21.3919,,68.5065,0.7628,0.4655,3.1753,2.1753,31.4935,0.1727,109.7226,91.9493,105.0206,96.6513,201.6719,0.9045,3.281,3.9152,3.4279,1.7309,2.2109
2013-4,47.02,3.6929,2.96,1.5,0.3023,2.0501,16.6084,9.6375,27.1803,352823607.58,124.9597,34003229.63,191.0789,31710300.0,192.032,40.5159,90.2025,64.4492,0.9448,0.603,2.8129,1.8129,35.5508,0.4415,58.1884,55.2792,83.6023,29.8653,113.4676,1.7233,6.1868,6.5124,4.3061,3.0109,4.7099
2014-4,65.02,5.7863,3.75,0.61,0.3023,3.9818,26.1327,13.0788,27.8826,524307658.29,48.6033,68573303.56,101.667,64464000.0,103.2904,52.1474,122.6327,54.4571,1.1536,0.7446,2.1957,1.1957,45.5429,0.5413,46.8915,53.3657,90.4659,9.7913,100.2572,1.9981,7.6773,6.7459,3.9794,3.2852,6.4201
2015-3,28.14,1.1464,0.36,0.31,0.0598,0.0862,11.0761,8.6064,22.4409,425725668.62,,36883761.78,,35716200.0,,26.8109,75.1237,62.6331,1.0479,0.5981,2.6762,1.6976,37.3669,0.1832,43.2921,58.4846,87.3815,14.3952,101.7767,1.287,6.2367,4.6166,3.0899,2.0798,4.8294
2015-4,45.67,1.3829,0.49,0.55,0.0598,0.2691,19.4647,10.7674,25.1656,602466967.44,14.9071,65267699.17,-4.8205,62227000.0,-3.4702,39.3288,91.7601,55.6502,1.1014,0.8229,2.2548,1.2669,44.3498,0.2771,40.0543,71.0648,92.0504,19.0687,111.1191,1.8077,8.9878,5.0658,3.9109,2.9725,6.6193
2016-1,,,,,,,,10.0785,,144598600.0,,15060000.0,,14605600.0,,,,,,,,,,,,,,,,,,,,,
2016-2,18.29,,0.4602,0.27,,,,10.0967,24.843,321306979.68,,32602428.58,,32130972.19,,,,,,,,,,,,,,,,,,,,,
2016-3,31.34,,0.6689,0.48,,,,11.9551,25.7243,481713541.07,13.1512,57718614.49,56.4879,53782659.06,50.5834,,,,,,,,,,,,,,,,,,,,
2016-4,42.53,1.8579,0.66,0.68,0.0598,0.677,17.802,11.7564,25.5745,688292998.97,14.2458,80996347.35,24.0987,74327500.0,19.4457,36.3293,98.1751,57.7488,1.1593,0.8187,2.3668,1.3761,42.2512,0.2563,51.3757,90.893,111.7249,30.5438,142.2687,1.5142,7.0072,3.9607,3.2222,2.3594,5.4631
2017-1,,1.7769,0.0557,,,,2.6852,8.047,23.3918,177623319.47,22.8389,14280565.75,-5.1755,13239700.0,-9.3519,6.6972,92.4673,59.6353,1.1076,1.1076,2.4774,1.4915,40.3647,0.021,,,,,,0.3337,,,,0.5048,
2017-2,16.72,3.9823,0.1786,0.32,2.2933,0.5983,5.142,9.5124,24.7111,403886611.99,25.7012,38480773.81,18.0304,37042049.74,15.2846,6.0393,87.3108,33.6351,2.3942,2.0633,1.5068,0.5084,66.3649,0.0882,57.7441,91.7384,112.5915,36.891,149.4825,0.5406,3.1172,1.9621,1.5987,0.7187,2.5301
2017-3,18.23,4.1684,0.3812,0.51,2.2933,0.7843,9.6929,11.1624,25.8793,612400996.58,27.1297,68251091.17,18.248,65978072.7,22.6754,10.2334,78.0065,23.9002,3.2838,1.7612,1.3141,0.3151,76.0998,0.2902,59.495,83.5913,99.7009,43.3854,143.0863,0.8684,4.5382,3.23,2.7081,1.1831,3.7533
2017-4,21.12,4.34,0.5118,0.68,2.2933,0.8965,12.9972,11.0867,26.1224,862815557.8,25.3559,95587777.79,18.0149,92851354.47,24.9219,13.7679,85.8671,25.972,3.04,1.3589,1.3508,0.3519,74.028,0.3352,51.8187,89.5968,101.1634,40.2521,141.4155,1.1723,6.9473,4.018,3.5586,1.5896,4.9958
2018-1,3.05,4.4738,0.1398,0.13,2.2933,1.031,2.286,10.672,26.1266,200829567.29,13.0649,21525406.27,50.7322,21296658.26,60.8545,3.0072,62.0345,23.1831,3.3995,1.4979,1.3018,0.3026,76.8169,0.1032,62.0861,94.2902,101.9946,54.3817,156.3763,0.2142,1.4496,0.9545,0.8824,0.2758,1.0633
2018-2,7.24,4.4627,0.2425,0.32,2.2933,1.0199,5.4806,11.7821,26.412,439854563.28,8.9055,51749382.89,34.4811,46605705.55,25.8184,7.2475,77.6549,24.6493,3.2237,1.454,1.3271,0.3281,75.3507,0.1656,59.1833,93.8624,100.2674,52.7783,153.0457,0.4652,3.0414,1.9177,1.7952,0.5972,2.3065
2018-3,10.2,4.596,0.4341,0.46,2.2933,1.1533,7.5636,10.6042,25.7992,688428835.7,12.4147,73082710.12,7.0792,67933381.81,2.9636,9.9383,69.5119,25.4932,3.0482,1.3192,1.3422,0.3431,74.5068,0.2753,60.966,88.9182,,149.8842,149.8842,0.7133,4.4287,3.0365,,0.9274,3.6341
2018-4,14.03,4.774,0.6617,0.63,2.2933,1.269,10.3505,10.722,25.8796,951181810.6,10.2416,101569099.47,6.2574,92503624.45,-0.3745,13.297,70.0827,25.5932,3.0563,1.4692,1.344,0.3451,74.4068,0.4017,52.6963,91.9118,93.3852,51.2229,144.6081,0.9653,6.8316,3.9168,3.855,1.261,4.7516
2019-1,1.95,4.868,0.1601,0.09,2.2933,1.3629,1.4933,7.0086,24.7272,219121539.29,9.1082,15025623.97,-30.1959,15096988.86,-29.111,1.9291,40.973,23.8704,3.2849,1.5035,1.3136,0.3147,76.1296,0.1045,68.7285,96.0,,164.7285,164.7285,0.2131,1.3095,0.9375,,0.2827,1.0531
2019-2,6.39,4.8646,0.6551,0.31,2.2933,1.3595,4.8343,10.3994,26.1814,482435620.32,9.6807,49684895.79,-3.9894,49012565.71,5.1643,6.3835,71.3176,25.2756,3.112,2.2368,1.3383,0.3396,74.7244,0.3966,60.1765,85.9353,100.0389,46.0729,146.1118,0.4649,2.9912,2.0946,1.7993,0.6149,2.3394
2019-3,10.1,5.0489,0.7862,0.49,2.2933,1.5439,7.6075,10.968,27.1797,727166879.09,5.627,79174214.49,8.3351,73751384.9,8.5643,9.801,74.2511,23.9867,3.261,2.6492,1.3156,0.3168,76.0133,0.4916,64.2261,83.7054,99.1808,48.7507,147.9315,0.6936,4.2039,3.2256,2.7223,0.922,3.5193
2019-4,15.82,5.3488,1.02,0.79,2.2933,1.7666,11.5798,12.4308,27.546,1027475295.68,8.0209,127162144.37,25.1977,108688403.54,17.4964,14.8587,87.9659,26.9673,2.9126,2.4471,1.3692,0.3706,73.0327,0.5146,61.2933,89.5255,103.5078,47.311,150.8188,0.9315,5.8734,4.0212,3.478,1.2303,5.0364
2020-1,1.92,5.4528,0.0071,0.1,2.2933,1.8703,1.3668,6.9332,25.4524,234900750.35,7.2011,16597251.56,10.4596,15534112.47,2.8954,1.9024,41.709,27.49,2.8159,2.1258,1.3791,0.3803,72.51,0.0034,88.4695,83.6898,121.5888,50.5705,172.1593,0.1971,1.0173,1.0754,0.7402,0.2617,1.1673
