,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
2013-4,,-1.05,-0.05,-0.36,,,-21.7344,-131.1997,46.1346,1366218.67,,-1792474.82,,-1830000.0,,,,163.6161,0.4453,0.048,,,-63.6161,-0.0196,2068.9655,51.3171,1304.3478,815.9348,2120.2826,0.1657,0.174,7.0152,0.276,0.2274,1.9255
2014-4,93.25,0.88,-0.29,0.53,,,33.8741,31.7495,63.8022,24598548.13,1700.484,7809926.47,535.7063,7861200.0,529.5738,53.0982,530.1008,61.1549,1.0015,0.5659,2.5743,1.5743,38.8451,-0.2056,164.9938,67.3401,140.1869,92.147,232.3339,1.0669,2.1819,5.346,2.568,1.6848,15.6443
2015-2,28.84,1.24,0.81,0.28,,,10.6787,30.4773,67.9589,9769449.28,,2992497.78,,2931400.0,,48.2489,259.6406,65.4348,1.2829,0.7468,2.8931,1.8885,34.5652,0.3461,239.521,140.1214,231.0358,148.6066,379.6424,0.3504,0.7515,1.2846,0.7791,0.5112,4.2574
2015-4,27.96,1.06,1.5565,0.2,0.2606,-0.268,5.6805,8.7964,60.3576,18394949.23,-25.2194,1938512.07,-75.1789,1868719.11,-76.2285,36.4414,65.8052,73.8349,1.1198,0.8911,3.8219,2.6519,26.1651,0.5517,158.4298,116.5426,165.2589,109.7135,274.9724,0.6458,2.2723,3.089,2.1784,0.9436,8.1918
2016-2,-98.06,0.36,-1.1469,-0.7,0.2606,-0.9681,-21.1595,-142071.5105,91.6879,2564.1,-99.9738,-3500312.2,-216.9696,-4400311.2,-250.1098,-192.4068,-180.2405,91.1507,0.8826,0.2501,11.3003,7.6791,8.8493,-0.4105,,138461.5385,1800000.0,-1661538.4615,138461.5385,0.0001,0.0,0.0013,0.0001,0.0002,0.0013
2016-4,40.78,1.66,-0.46,0.06,0.2606,0.2337,11.8499,14.7206,58.7092,18922109.2,2.8658,2781275.3,43.4747,911996.11,-51.1967,33.5506,58.6134,71.4271,1.2327,0.9245,3.4998,2.4045,28.5729,-0.1161,178.9353,101.4256,118.6357,161.7252,280.3609,0.805,2.0119,3.5494,3.0345,0.9375,9.4354
2017-1,-62.53,,-0.1914,-0.58,,,,-1032038.1573,14.2872,287.18,,-2917796.49,,-2917796.49,,,,,,,,,,,,,,,,,,,,,
2017-2,-33.78,1.18,-0.169,-0.48,0.2606,-0.2453,-8.6852,-59.2264,62.6531,4390030.77,171111.3712,-2395713.18,31.5572,-2395933.24,45.5508,-40.6409,-46.2835,83.1882,1.0111,0.2859,5.9482,4.5112,16.8118,-0.0318,1140.6844,216.4502,390.117,967.0176,1357.1346,0.1466,0.1578,0.8316,0.4614,0.1706,2.2014
2017-4,117.23,6.25,1.32,0.47,0.2606,4.4706,48.4201,34.5781,61.5375,67319985.67,255.7742,23482320.29,744.3005,22604900.0,2378.618,75.2,227.3478,54.243,1.7106,1.4644,2.1855,1.1855,45.757,0.178,71.716,122.4365,63.6368,130.5157,194.1525,1.4003,5.0198,2.9403,5.6571,1.5319,23.3296
2018-1,-4.23,14.899,0.3717,-0.26,9.4508,3.9643,-1.5414,-123.7461,47.8747,1045555.54,363976.7254,-1293834.26,55.6571,-1293834.26,55.6571,-1.6346,-30.4898,20.5618,4.6237,2.9724,1.2588,0.2588,79.4382,0.0964,1952.2777,1832.9939,1047.7299,2737.5417,3785.2716,0.0125,0.0461,0.0491,0.0859,0.0132,0.2697
2018-4,49.22,4.19,-1.1,1.15,1.6855,1.3538,34.7215,36.2053,63.2731,170299144.11,152.9697,61892349.08,163.57,70175700.0,210.4446,25.6293,328.9586,15.4293,5.3237,4.5168,1.1824,0.1833,84.5707,-1.4253,93.4725,209.0835,58.7362,243.8198,302.556,0.959,3.8514,1.7218,6.1291,1.1417,38.9608
2019-2,,4.778,1.451,0.59,1.6855,1.9391,10.7115,35.0766,52.9021,95504749.91,,33709959.65,,32886800.0,,12.2492,263.9403,18.4415,3.7922,2.9573,1.2261,0.2269,81.5585,1.3384,123.5924,251.713,69.2228,306.0826,375.3054,0.3054,1.4564,0.7151,2.6003,0.4223,19.896
2019-3,,,1.654,1.08,,,,36.5927,57.1899,165142196.22,,60764397.28,,,,,,,,,,,,,,,,,,,,,,,
2019-4,32.91,5.84,3.22,1.65,1.6855,2.8586,25.7242,38.6386,56.7907,245045898.09,43.8914,95131336.92,53.7045,90587100.0,29.0861,28.2606,337.6865,24.9098,3.2131,2.8011,1.3317,0.3324,75.0902,1.6551,87.7428,192.5134,63.62,216.6362,280.2562,0.6658,4.1029,1.87,5.6586,0.964,50.4957
2020-1,-1.69,,,-0.1,,,,-412.2472,37.3062,1391947.95,,-5646257.99,,-5797923.13,,,,,,,,,,,,,,,,,,,,,
2020-2,13.41,6.6842,0.562,0.84,1.6855,3.6984,10.2885,41.7166,62.1047,115470046.76,20.905,48368306.07,43.4837,45951300.0,39.7257,12.5635,356.6468,20.869,3.7851,3.1393,1.2637,0.2641,79.131,0.3184,111.996,161.8851,88.9196,184.9615,273.8811,0.2466,1.6072,1.1119,2.0243,0.4063,23.5183
2020-3,19.62,17.4079,-0.1141,1.23,13.0851,3.0976,7.7525,40.0772,61.2765,181953152.03,10.1797,73230405.14,20.5153,70766881.89,,5.4778,329.9391,6.6178,13.464,12.9182,1.0709,0.0709,93.3822,-0.0925,124.625,203.4511,88.7603,239.3158,328.0761,0.1934,2.1665,1.3271,3.0419,0.246,37.1348
2020-4,14.39,17.7576,-0.7146,1.56,13.0851,3.3196,10.4383,37.0855,59.611,268479606.43,9.563,100084822.71,5.207,94156688.71,3.9405,7.3392,268.3568,6.487,13.1265,12.8123,1.0694,0.0694,93.513,-0.58,72.3996,235.3864,55.8538,251.9322,307.786,0.2815,4.9724,1.5294,6.4454,0.3715,2.5922
2021-1,0.3,17.8126,1.7353,0.06,13.0851,3.3746,0.2493,58.2689,51.511,6179752.62,343.9643,4287085.46,175.9279,4052985.01,169.9041,0.3134,-13.7138,4.1146,23.6838,22.6856,1.0429,0.043,95.8854,2.2638,715.4213,2419.3548,240.9639,2893.8122,3134.7761,0.0043,0.1258,0.0372,0.3735,0.0054,0.0303
2021-2,0.7,17.5824,1.4288,0.13,13.0851,3.1444,0.5528,15.8289,40.3143,50221328.32,-56.5071,9644367.31,-80.0606,797080.31,-98.2654,0.7143,-23.7348,4.5046,22.5973,21.711,1.0472,0.0473,95.4954,1.7187,150.2003,638.5243,54.6514,734.0732,788.7246,0.0349,1.1984,0.2819,3.2936,0.0446,0.2457
2021-3,2.42,18.0706,1.2186,0.44,13.2635,3.4542,2.1517,24.74,46.227,133475905.73,-26.6427,33432626.77,-54.346,20739931.43,-70.6926,2.4091,26.7784,12.723,6.1677,5.649,1.1458,0.1477,87.277,0.4566,112.8432,440.8883,46.5726,507.1589,553.7315,0.087,2.3927,0.6124,5.7974,0.1174,0.6543
2021-4,2.18,17.8604,1.8269,0.39,13.0851,3.3778,2.4759,19.3256,49.4975,198155466.15,-26.1935,30994817.57,-69.0315,11554919.2,-87.728,2.2597,9.2676,14.0253,5.0355,4.7338,1.1631,0.1672,85.9747,0.6119,122.3366,376.8844,70.2001,429.0209,499.221,0.1281,2.9427,0.9552,5.1282,0.1778,0.9735
2022-1,-0.51,17.6979,-0.471,-0.09,13.0851,3.2153,-0.5889,-66.0608,44.3864,14365209.21,132.4561,-6964513.74,-262.4533,-8852681.03,-318.4237,-0.5124,-98.0021,11.8708,6.0473,5.3097,1.1347,0.1387,88.1292,-0.1919,594.8447,924.0246,246.9136,1271.9557,1518.8693,0.0089,0.1513,0.0974,0.3645,0.0139,0.072
2022-2,-1.49,13.3092,-0.5058,-0.2,9.8347,2.1685,-1.6597,-101.4923,39.4083,25833351.11,-48.561,-20107531.21,-308.4899,-23170499.63,-3006.9216,-1.5133,-122.3758,10.9915,6.2308,5.5065,1.1235,0.1261,89.0085,-0.3013,624.7831,1023.3087,238.4422,1409.6496,1648.0918,0.0164,0.2881,0.1759,0.7549,0.0264,0.13
2022-3,-0.01,13.342,-1.3644,-0.11,9.8347,2.2012,-1.2192,-23.6548,44.6553,84402751.75,-36.7656,-10705078.35,-132.0199,-20075458.64,-196.7962,-0.8037,-83.2403,16.0163,4.1057,3.1599,1.1907,0.1972,83.9837,-0.5185,498.7992,512.8205,157.7287,853.891,1011.6197,0.0515,0.5413,0.5265,1.7118,0.0837,0.4211
