,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
2014-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-4,-0.34700315457413256,0.18181818181818177,1.3142857142857145,-0.12,,,0.05598447740132151,-0.0439860049848465,-0.00012847657615070194,0.18538257068463543,,0.15406910778933683,,0.07395468388880488,,-0.08473139852641053,,-0.08698479230479872,-0.059509133699428486,-0.049821120975222045,-0.09903701740436423,-0.1699166475491322,0.10993366988884608,1.3365853658536584,-0.16814719192493807,-0.033169149332085,-0.08927649277313046,-0.07942330247141048,-0.08297947212497711,0.10459183673469381,0.20213592528831936,0.03430670244080333,0.09802723723813209,0.13793103448275876,0.051378773903107196
2016-4,0.0005367686527107656,0.17500000000000002,1.37037037037037,0.19318181818181823,0.0010561056105611352,0.456807274564284,0.13390298747189214,0.04676866585067312,0.0661379604549683,0.20387240667329753,0.0997340640727575,0.27310993043220405,0.7726473203564637,0.3840925582974396,4.193604218781692,0.08426715042486313,-0.11876901662570301,-0.10082027195909822,0.04474499523355587,0.02349742016455171,-0.09487154343989017,-0.1723629663749424,0.10481326395956686,1.4307585247042451,-0.18843222651583727,-0.07111785622898883,-0.09105182461879213,-0.12119274826620804,-0.11038911964733954,0.08324585345370569,0.23218472378876395,0.07656273611041159,0.10017233658556443,0.20263814616755793,-0.0776231193285233
2017-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-4,0.4479613733905578,0.2569558101472994,0.32812499999999994,0.7714285714285715,0.0,0.611530125704378,0.6141808127280557,0.39261701804235233,0.2971542344201205,0.27794981079742065,0.36335543870663956,0.7687423325870426,1.8147706052506316,0.7954089246610276,1.070876063869948,0.406628518314114,0.27024854407592375,-0.12371705358701346,0.011633875106928983,0.011513045847809739,-0.09474026325767837,-0.21760908281389138,0.10467803869443217,0.35127397652447745,-0.11788885767992573,-0.23369596192755976,-0.011762639263298028,-0.30613926068595737,-0.1983301551901607,0.15902703750363398,0.13364462911918382,0.30496420717727957,0.011902559358618649,0.24776190193869682,-0.09230419783932652
2018-1,0.3268858800773695,,-0.21875000000000003,0.7187500000000001,,,,0.291591373515951,-0.002190363812363585,0.3524478275811036,,0.6821027464022077,,0.668991931398026,,,,,,,,,,,,,,,,,,,,,
2018-2,0.07692307692307693,,,0.45121951219512196,,,,0.21407937387682427,0.05774089317709849,0.21239032155970325,,0.4427272248435113,,0.4341824596744949,,,,,,,,,,,,,,,,,,,,,
2018-3,-0.019900497512437915,,,0.29411764705882343,,,,0.1657248206484709,0.06436580803101132,0.15119416400323868,,0.3300910369934593,,0.3313740937096941,,,,,,,,,,,,,,,,,,,,,
2018-4,-0.18266024453501298,0.4067057291666667,-0.7074901960784313,0.12365591397849449,0.9450525297815289,0.2396578621765559,-0.05264488048018535,0.09985893969672029,0.0562232876203218,0.09585880836850769,-0.6551214247166756,0.17410914264518296,-0.7735143910440694,0.18277831144963955,-0.7702087856687566,-0.24886218147276257,-0.012783579754999937,-0.12862222310753008,0.26004848074863285,0.26057381465517243,-0.07946385830540931,-0.21653151230616022,0.0863277972933678,-0.7343220338983051,0.1695487639843975,0.1813226231814667,0.17418244798432114,0.17998660847417244,0.17736627080926312,-0.13862876254180598,-0.1449710584093919,-0.15349037323867903,-0.14834227206240863,-0.15109759574265896,-0.09770249769311386
2019-1,-0.5568513119533528,0.35630036630036643,-0.28153846153846157,-0.4,0.9446666373665009,0.15863491468216764,-0.5267598602096856,0.007126139201610899,-0.03195037494954645,-0.3514781519384268,-1.9972478209551479,-0.31888771981715897,-1.4675071066979621,-0.5869292076670027,-1.8773333612360088,-0.547904056712876,-0.07432118217749127,-0.13863345594114812,0.19014580736083256,0.13987431583215088,-0.08469289827255277,-0.22455176402544824,0.09249626547161761,-0.21947674418604654,1.0518423397330765,1.1444431071724936,,2.9327172609728343,1.1117941659913584,-0.5299732722413135,-0.5126331375077614,-0.5336783020522716,,-0.5306660804572434,-0.4066010691872627
2019-2,-0.6278571428571428,0.26331832036759006,-0.5687718652181918,-0.5126050420168068,0.9553457176896261,-0.008865790278202357,-0.6080579436766181,-0.11408611447345668,-0.16583623335294245,-0.4106943620182699,-2.933678610104054,-0.45986614834427586,-2.038712344175982,-0.6601824081260678,-2.520519045008775,-0.6152077662990678,-0.32312543059096616,-0.13209248515575828,-0.03157791507306071,-0.08532299115258746,-0.08457418633394159,-0.21595788890428042,0.09234047108116229,-0.582943925233645,1.3038354192724309,,,3.5506427772865,5.780329766921866,-0.5575174825174825,-0.5659414225941423,,,-0.5626246509772637,-0.4933255349893347
2019-3,-0.6060913705583756,0.040213328471146004,2.571860816944024,-0.5113636363636364,0.0005181230429591513,0.03360635991327386,-0.5712050358104059,-0.15965069105411536,-0.1506005424254164,-0.38806102678782917,-3.5666428561979973,-0.4719824203124869,-2.429854191722889,-0.6077064286209868,-2.8338976503889866,-0.49239308657903935,-0.18132087605318284,0.033679071193460884,-0.3020949452239093,-0.3749768389846211,0.01812352787228478,0.047161087479193786,-0.017797042792992244,2.446107784431138,1.1660295923598774,0.9985957747127886,,0.37556178804343027,1.0550385484466074,-0.4897269180754226,-0.5383253343273846,-0.4996487584374331,,-0.46938615106500037,-0.5305628496403699
2019-4,-0.5711695376246599,0.07330031934095432,0.4905483308754523,-0.492822966507177,0.0031187850298318143,0.15949921888561017,-0.5640330206156536,-0.2293516348451421,-0.16959303021133146,-0.3160795033961236,-4.297342972490846,-0.4619708004818391,-3.653343595104216,-0.5805837638687059,-4.176443554475921,-0.49871613708466894,-0.2546359541389341,0.002643151665471328,-0.06804760200429488,-0.19281936207725597,0.0014300572022880784,-0.0012711094970036733,-0.0014229915435843255,0.38995215311004783,1.2026094855637959,0.8538003565109151,0.49333033151348027,1.3607989992640712,0.9702319159719673,-0.43428460493108134,-0.5459928058317329,-0.46056755612028805,-0.33035637612709323,-0.43305720362700106,-0.524769465437149
