,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
2011-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-4,0.02824040550325842,-0.42306355568942744,3.2303172737955346,,0.14429012345679015,-0.7061233678523189,0.2588359169347763,0.29664585191793025,0.0036950376385639513,0.14766438550782687,,0.4881068021939325,,0.2715378184027371,,0.12426868270414856,,0.01869190820214275,-0.034347142108023074,-0.04886015651582177,0.030690931523750818,0.04994979919678722,-0.029787609288235605,5.967741935483872,0.17991462228466434,0.0186247736529179,0.055046645252454084,-0.02592654476514408,0.02576687777153656,-0.02918032786885245,-0.15247876955976397,-0.01828429414636307,-0.05217442860107318,-0.026796805678793195,0.10326999330552561
2013-4,0.008450704225352183,0.20883534136546167,-1.2777777777777777,0.24193548387096778,,,0.05664550785787978,-0.0844146015933513,-0.046466244725738404,0.3605080744242997,1.4414075197746234,0.2456624549860105,-0.49670461599608284,0.23912738783245555,-0.11936082610905285,0.02690600951700785,-0.1446143796802556,-0.09741788912995548,0.11777083898995383,0.08793017099520642,-0.14013167739039356,-0.22388238106622044,0.16300343778570245,-1.3101851851851851,-0.05919259920771215,-0.12165995970291489,-0.19790754473999733,0.03341174072910389,-0.11847814993978734,0.15406957109084768,0.0629053193425122,0.13851091722797343,0.2467394363994622,0.15931193775832725,0.3382638486958794
2014-4,-0.13617318435754197,0.22923588039867124,3.5999999999999996,0.07792207792207785,,,-0.12803665980614634,-0.058579543746806545,-0.015305050058078529,0.14338701114235566,-0.6022640274279628,0.07639968860103778,-0.6890035902988659,0.058573567699592544,-0.7550506634549843,-0.12285109242646834,-0.07709783011059484,0.10364530415296334,-0.08599016214246671,-0.0591213994475864,0.15548594796832862,0.2752194671184352,-0.13459018880414853,2.6044776119402986,0.09547047656135904,0.1303862680160232,-0.024711111307960477,0.35586989176272604,0.12848820516620205,-0.07380311366030662,-0.0871484559567042,-0.11534643637085558,0.025337414078571062,-0.0846746710008913,0.16848670863633458
2015-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-4,-0.18593371059013736,0.17837837837837842,-2.230769230769231,-0.024096385542168565,0.0,0.338538091969801,-0.2539919505331007,-0.03127194942851669,0.03481572605786901,0.00875189590592922,-0.9389623885010496,-0.022793919703537953,-1.2983507853403142,0.011689157126552444,-0.800440468467238,-0.17094801359459413,-0.05458185249848347,0.026907778668805043,-0.085575709255199,-0.0719927308310617,0.04664909638554213,0.07481884057971022,-0.04456042496679951,-1.958139534883721,0.07857404712443206,0.2679980616400926,0.33625378775407344,0.17445943538133163,0.2580020353895145,-0.22988941548183262,-0.07284402247432639,-0.2113554757630162,-0.25163926404384424,-0.20907320426165654,0.04985035838371136
2016-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2,0.11904761904761905,0.23482849604221628,-0.3137254901960785,0.3333333333333334,0.0,0.44440823420781056,0.0896507666098808,0.37412127793336003,0.12467065648630973,-0.03601663595854105,,0.3246371361367636,,0.2779143640118705,,0.07111628345862303,0.45158419238559816,-0.017201959210986974,-0.04422451380718393,-0.0401525509102683,-0.030374991139150813,-0.0470517184583287,0.03133164425534802,-0.12414733969986352,-0.02917683072655089,0.2112731654721887,0.30158407988491664,0.09287725868079336,0.2014857121162636,-0.20700447093889718,0.030045530570525884,-0.17442242417606482,-0.2317058683772867,-0.15116755428103226,0.011128176513071818
2016-3,,,-0.24028776978417274,-0.021276595744680753,,,,0.06260877227766401,0.04388854698379388,-0.08386325589839902,,-0.026489864616066224,,,,,,,,,,,,,,,,,,,,,,,
