,symbol,name,codename,industry
0,SH600000,浦发银行,SH600000 浦发银行,股份制银行
1,SH600004,白云机场,SH600004 白云机场,航空机场
2,SH600006,东风汽车,SH600006 东风汽车,商用车
3,SH600007,中国国贸,SH600007 中国国贸,房地产开发
4,SH600008,首创环保,SH600008 首创环保,环境治理
5,SH600009,上海机场,SH600009 上海机场,航空机场
6,SH600010,包钢股份,SH600010 包钢股份,普钢
7,SH600011,华能国际,SH600011 华能国际,
8,SH600012,皖通高速,SH600012 皖通高速,铁路公路
9,SH600015,华夏银行,SH600015 华夏银行,股份制银行
10,SH600016,民生银行,SH600016 民生银行,股份制银行
11,SH600017,日照港,SH600017 日照港,航运港口
12,SH600018,上港集团,SH600018 上港集团,航运港口
13,SH600019,宝钢股份,SH600019 宝钢股份,普钢
14,SH600020,中原高速,SH600020 中原高速,铁路公路
15,SH600021,上海电力,SH600021 上海电力,电力
16,SH600022,山东钢铁,SH600022 山东钢铁,普钢
17,SH600023,浙能电力,SH600023 浙能电力,
18,SH600025,华能水电,SH600025 华能水电,电力
19,SH600026,中远海能,SH600026 中远海能,航运港口
20,SH600027,华电国际,SH600027 华电国际,
21,SH600028,中国石化,SH600028 中国石化,炼化及贸易
22,SH600029,南方航空,SH600029 南方航空,航空机场
23,SH600030,中信证券,SH600030 中信证券,证券
24,SH600031,三一重工,SH600031 三一重工,工程机械
25,SH600032,浙江新能,SH600032 浙江新能,电力
26,SH600033,福建高速,SH600033 福建高速,铁路公路
27,SH600035,楚天高速,SH600035 楚天高速,铁路公路
28,SH600036,招商银行,SH600036 招商银行,股份制银行
29,SH600037,歌华有线,SH600037 歌华有线,电视广播
30,SH600038,中直股份,SH600038 中直股份,航空装备
31,SH600039,四川路桥,SH600039 四川路桥,基础建设
32,SH600048,保利发展,SH600048 保利发展,房地产开发
33,SH600050,中国联通,SH600050 中国联通,通信服务
34,SH600051,宁波联合,SH600051 宁波联合,综合
35,SH600052,东望时代,SH600052 东望时代,影视院线
36,SH600053,九鼎投资,SH600053 九鼎投资,多元金融
37,SH600054,黄山旅游,SH600054 黄山旅游,旅游及景区
38,SH600055,万东医疗,SH600055 万东医疗,医疗器械
39,SH600056,中国医药,SH600056 中国医药,医药商业
40,SH600057,厦门象屿,SH600057 厦门象屿,物流
41,SH600058,五矿发展,SH600058 五矿发展,贸易
42,SH600059,古越龙山,SH600059 古越龙山,非白酒
43,SH600060,海信视像,SH600060 海信视像,黑色家电
44,SH600061,国投资本,SH600061 国投资本,多元金融
45,SH600062,华润双鹤,SH600062 华润双鹤,化学制药
46,SH600063,皖维高新,SH600063 皖维高新,化学纤维
47,SH600064,南京高科,SH600064 南京高科,房地产开发
48,SH600066,宇通客车,SH600066 宇通客车,商用车
